X,Y,statename,store_idx
-45.034454,-24.552702,Hessen,1
-35.684532,-1.6761024,Thueringen,2
7.0246444,25.50497,Nordrhein Westfalen,3
77.71077,-28.505589,Berlin,4
-68.08976,31.685863,Sachsen,5
-21.922522,3.989685,Sachsen,6
65.12113,-22.192738,Schleswig Holstein,7
-38.632126,66.16094,Schleswig Holstein,8
-12.546098,-29.281055,Nordrhein Westfalen,9
-51.43858,-19.941755,Niedersachsen/Bremen,10
40.279392,55.888954,Schleswig Holstein,11
20.719831,30.414343,Schleswig Holstein,12
-60.033016,-31.699867,Bayern,13
-14.527797,42.370316,Nordrhein Westfalen,14
7.974425,20.511671,Schleswig Holstein,15
22.171719,-18.233631,Baden Wuerttemberg,16
9.4069805,46.06715,Thueringen,17
2.7105026,13.223158,Thueringen,18
-16.01862,31.771753,Nordrhein Westfalen,19
54.087498,66.32375,Bayern,20
-20.525133,-42.172348,Baden Wuerttemberg,21
-85.664185,-45.08632,Bayern,22
-48.814087,-1.2905157,Rheinland Pfalz,23
48.96215,51.84436,Nordrhein Westfalen,24
73.92761,-7.926858,Nordrhein Westfalen,25
-5.9047914,-36.299072,Thueringen,26
54.50866,46.370056,Nordrhein Westfalen,27
-55.13246,4.0426016,Sachsen Anhalt,28
-13.206151,-29.29684,Nordrhein Westfalen,29
-31.680943,-56.456593,Nordrhein Westfalen,30
-46.719524,-12.889386,Schleswig Holstein,31
-84.96664,-39.357822,Bayern,32
72.11239,-44.554405,Nordrhein Westfalen,33
21.023632,-44.9813,Berlin,34
56.9835,46.811348,Nordrhein Westfalen,35
55.80524,53.48544,Bayern,36
48.156315,-65.243744,Sachsen Anhalt,37
-30.973822,-36.886673,Nordrhein Westfalen,38
-44.370583,22.631042,Nordrhein Westfalen,39
-32.14527,-58.21978,Nordrhein Westfalen,40
-62.021416,-13.847856,Bayern,41
71.24996,52.55324,Nordrhein Westfalen,42
0.009671796,45.04178,Nordrhein Westfalen,43
-53.039593,-0.27492586,Berlin,44
-39.66752,-18.894497,Rheinland Pfalz,45
-22.530466,-37.74624,Bayern,46
3.8909805,23.243336,Hamburg,47
-84.24143,19.468,Hamburg,48
12.469015,-50.505024,Baden Wuerttemberg,49
-61.296314,-1.7839743,Rheinland Pfalz,50
47.08073,8.620114,Bayern,51
17.734007,24.464046,Bayern,52
-68.5098,-3.6674,Schleswig Holstein,53
64.33854,32.450104,Sachsen Anhalt,54
-66.102646,6.0287695,Sachsen,55
42.94103,15.939607,Hessen,56
91.92147,-20.860903,Sachsen,57
-8.595464,-25.699902,Bayern,58
-27.017395,41.350697,Thueringen,59
-14.563143,71.09436,Sachsen,60
-49.194664,-49.825302,Baden Wuerttemberg,61
-14.066508,43.231075,Nordrhein Westfalen,62
37.769962,11.438228,Schleswig Holstein,63
71.32498,51.650818,Nordrhein Westfalen,64
-31.345884,-7.230006,Sachsen Anhalt,65
-0.82680833,-9.129679,Baden Wuerttemberg,66
37.351326,-37.362103,Baden Wuerttemberg,67
-19.722445,-58.473816,Schleswig Holstein,68
41.954144,65.18172,Hessen,69
-43.631847,-0.7421315,Niedersachsen/Bremen,70
54.035862,41.395782,Nordrhein Westfalen,71
-40.264587,44.76674,Bayern,72
-77.792175,33.029167,Schleswig Holstein,73
-13.572268,-21.918184,Nordrhein Westfalen,74
-32.971127,-11.305822,Schleswig Holstein,75
75.65405,-25.689842,Bayern,76
46.511707,39.07572,Hessen,77
-59.747032,-53.2736,Sachsen Anhalt,78
-53.404068,-0.7979266,Baden Wuerttemberg,79
24.742306,-65.538376,Rheinland Pfalz,80
46.65489,13.848885,Bayern,81
55.479416,58.338696,Nordrhein Westfalen,82
-76.88669,-2.6464524,Nordrhein Westfalen,83
85.43306,-1.9795334,Nordrhein Westfalen,84
10.737886,-13.58491,Berlin,85
-42.20747,-40.88744,Nordrhein Westfalen,86
-40.773983,69.17463,Berlin,87
-46.491993,65.68195,Sachsen Anhalt,88
3.2814593,12.049028,Bayern,89
74.29428,-26.59518,Nordrhein Westfalen,90
